ID,Query,Konteks Pasal,Ground Truth,context_type
38,Apakah penyandang disabilitas mental berat dapat dijatuhi pidana?,Pasal 39,"Tidak dapat dijatuhi pidana melainkan dapat dikenai tindakan, khusus bagi penyandang disabilitas mental dalam kondisi kekambuhan akut dengan gambaran psikotik dan/atau disabilitas intelektual tingkat sedang atau berat.",factoid
39,Apakah anak di bawah 12 tahun dapat dipidana?,Pasal 40,Tidak dapat dimintai pertanggungjawaban pidana.,factoid
40,Apa tindakan terhadap anak di bawah 12 tahun yang melakukan tindak pidana?,Pasal 41,"Diselesaikan melalui keputusan bersama oleh penyidik, pembimbing kemasyarakatan, dan pekerja sosial profesional, berupa penyerahan kembali kepada orang tua/wali atau pengikutsertaan dalam program pendidikan, pembinaan, dan pembimbingan di instansi pemerintah paling lama enam bulan.",open-ended
41,Apakah orang yang dipaksa melakukan tindak pidana dapat dipidana?,Pasal 42,Tidak dipidana jika dipaksa oleh kekuatan atau ancaman yang tidak dapat dihindari.,factoid
42,Apakah pembelaan terpaksa yang melampaui batas tetap dipidana?,Pasal 43,Tidak dipidana jika terjadi karena keguncangan jiwa hebat akibat serangan.,factoid
43,Apakah bawahan tetap dipidana jika menjalankan perintah jabatan tanpa wewenang?,Pasal 44,Tidak dipidana jika dengan iktikad baik mengira perintah tersebut sah.,factoid
44,Apakah korporasi dapat menjadi subjek tindak pidana?,Pasal 45 ayat (1),"Ya, korporasi merupakan subjek tindak pidana.",factoid
45,Kapan tindak pidana dianggap dilakukan oleh korporasi?,Pasal 46,"Tindak pidana dianggap dilakukan oleh korporasi jika dilakukan oleh pengurus, pemberi perintah, pemegang kendali, atau pihak lain berdasarkan hubungan kerja atau hubungan lain yang bertindak untuk kepentingan dan dalam lingkup usaha korporasi (wajib dibaca bersama Pasal 47).",open-ended
46,Kapan korporasi dapat dimintai pertanggungjawaban pidana?,Pasal 48,"Korporasi dapat dimintai pertanggungjawaban jika tindak pidana termasuk dalam lingkup usahanya, memberikan keuntungan melawan hukum, dilakukan berdasarkan kebijakan korporasi, terjadi pembiaran, atau terdapat kegagalan korporasi dalam melakukan upaya pencegahan dan kepatuhan.",open-ended
47,Siapa saja yang dapat dimintai pertanggungjawaban atas tindak pidana korporasi?,Pasal 49,"Tanggung jawab dikenakan secara mandiri atau bersamaan kepada korporasi, pengurus, pemberi perintah, pemegang kendali (controlling person), dan/atau pemilik manfaat (beneficial owner), yang sifat pemidanaannya tidak otomatis berlaku kumulatif untuk seluruh pihak melainkan dinilai berdasarkan porsi kesalahan masing-masing.",open-ended
48,Apa tujuan pemidanaan menurut KUHP baru?,Pasal 51,"Pemidanaan bertujuan melindungi masyarakat, membina pelaku, menyelesaikan konflik, dan menumbuhkan penyesalan.",open-ended
49,Apakah pemidanaan boleh merendahkan martabat manusia?,Pasal 52,Tidak boleh.,open-ended
50,Apa yang harus diutamakan hakim jika keadilan bertentangan dengan kepastian hukum?,Pasal 53 ayat (2),Hakim wajib mengutamakan keadilan.,open-ended
